text
"Harusnya dana PEN itu utk penanganan kesehatan warga, buat perlindungan sosial kek, atau kasih intensif buat UMKM kek.

Gak usah alasan proyek itu buka lapangan kerja deh, Intinya APBD DKI kemana?

Cegah Cluster Baru Kovid
#BersamaJokowiEkonomiKuat

https://t.co/OdrcFBFaDT"
"Kemana nih bacotnya Dokter2 SJW, kok gak protes ke @aniesbaswedan DKI pakai dana PEN untuk menyelesaikan proyek JIS dan TIM?

Jangan pura2 bego deh, masak gk tau dana PEN itu buat apa? 

Cegah Cluster Baru Kovid
#BersamaJokowiEkonomiKuat

https://t.co/V8YT7g6cGo https://t.co/vfmSbhPZX0"
"Harusnya dana PEN itu utk penanganan kesehatan warga, buat perlindungan sosial kek, atau kasih intensif buat UMKM kek.

Gak usah alasan proyek itu buka lapangan kerja deh, Intinya APBD DKI kemana?

Cegah Cluster Baru Kovid
#BersamaJokowiEkonomiKuat

https://t.co/OdrcFBFaDT"
"Kemana nih bacotnya Dokter2 SJW, kok gak protes ke @aniesbaswedan DKI pakai dana PEN untuk menyelesaikan proyek JIS dan TIM?

Jangan pura2 bego deh, masak gk tau dana PEN itu buat apa? 

Cegah Cluster Baru Kovid
#BersamaJokowiEkonomiKuat

https://t.co/V8YT7g6cGo https://t.co/vfmSbhPZX0"
"Kemana nih bacotnya Dokter2 SJW, kok gak protes ke @aniesbaswedan DKI pakai dana PEN untuk menyelesaikan proyek JIS dan TIM?

Jangan pura2 bego deh, masak gk tau dana PEN itu buat apa? 

Cegah Cluster Baru Kovid
#BersamaJokowiEkonomiKuat

https://t.co/V8YT7g6cGo https://t.co/vfmSbhPZX0"
"Kemana nih bacotnya Dokter2 SJW, kok gak protes ke @aniesbaswedan DKI pakai dana PEN untuk menyelesaikan proyek JIS dan TIM?

Jangan pura2 bego deh, masak gk tau dana PEN itu buat apa? 

Cegah Cluster Baru Kovid
#BersamaJokowiEkonomiKuat

https://t.co/V8YT7g6cGo https://t.co/vfmSbhPZX0"
"Harusnya dana PEN itu utk penanganan kesehatan warga, buat perlindungan sosial kek, atau kasih intensif buat UMKM kek.

Gak usah alasan proyek itu buka lapangan kerja deh, Intinya APBD DKI kemana?

Cegah Cluster Baru Kovid
#BersamaJokowiEkonomiKuat

https://t.co/OdrcFBFaDT"
"Kemana nih bacotnya Dokter2 SJW, kok gak protes ke @aniesbaswedan DKI pakai dana PEN untuk menyelesaikan proyek JIS dan TIM?

Jangan pura2 bego deh, masak gk tau dana PEN itu buat apa? 

Cegah Cluster Baru Kovid
#BersamaJokowiEkonomiKuat

https://t.co/V8YT7g6cGo https://t.co/vfmSbhPZX0"
"Kemana nih bacotnya Dokter2 SJW, kok gak protes ke @aniesbaswedan DKI pakai dana PEN untuk menyelesaikan proyek JIS dan TIM?

Jangan pura2 bego deh, masak gk tau dana PEN itu buat apa? 

Cegah Cluster Baru Kovid
#BersamaJokowiEkonomiKuat

https://t.co/V8YT7g6cGo https://t.co/vfmSbhPZX0"
"Harusnya dana PEN itu utk penanganan kesehatan warga, buat perlindungan sosial kek, atau kasih intensif buat UMKM kek.

Gak usah alasan proyek itu buka lapangan kerja deh, Intinya APBD DKI kemana?

Cegah Cluster Baru Kovid
#BersamaJokowiEkonomiKuat

https://t.co/OdrcFBFaDT"
"Kemana nih bacotnya Dokter2 SJW, kok gak protes ke @aniesbaswedan DKI pakai dana PEN untuk menyelesaikan proyek JIS dan TIM?

Jangan pura2 bego deh, masak gk tau dana PEN itu buat apa? 

Cegah Cluster Baru Kovid
#BersamaJokowiEkonomiKuat

https://t.co/V8YT7g6cGo https://t.co/vfmSbhPZX0"
"Harusnya dana PEN itu utk penanganan kesehatan warga, buat perlindungan sosial kek, atau kasih intensif buat UMKM kek.

Gak usah alasan proyek itu buka lapangan kerja deh, Intinya APBD DKI kemana?

Cegah Cluster Baru Kovid
#BersamaJokowiEkonomiKuat

https://t.co/OdrcFBFaDT"
"Kemana nih bacotnya Dokter2 SJW, kok gak protes ke @aniesbaswedan DKI pakai dana PEN untuk menyelesaikan proyek JIS dan TIM?

Jangan pura2 bego deh, masak gk tau dana PEN itu buat apa? 

Cegah Cluster Baru Kovid
#BersamaJokowiEkonomiKuat

https://t.co/V8YT7g6cGo https://t.co/vfmSbhPZX0"
"Kemana nih bacotnya Dokter2 SJW, kok gak protes ke @aniesbaswedan DKI pakai dana PEN untuk menyelesaikan proyek JIS dan TIM?

Jangan pura2 bego deh, masak gk tau dana PEN itu buat apa? 

Cegah Cluster Baru Kovid
#BersamaJokowiEkonomiKuat

https://t.co/V8YT7g6cGo https://t.co/vfmSbhPZX0"
