critics;imdb_score
2;9.1
234;8.5
478;8.3
354;8.1
6;7.8
186;7.6
148;7.6
220;7.2
153;7.0
50;6.9
44;6.9
403;6.7
83;6.4
110;6.2
245;6.0
245;6.0
16;6.0
188;5.8
29;5.8
23;5.7
4;5.7
208;5.4
19;5.1
110;4.8
8;4.8
2;4.8
1;4.3
15;4.2
183;3.7
7;3.7
7;3.3
